id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_usaha,jumlah_umkm,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,AGRIBISNIS,11.0,UNIT,2020
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,AKSESORIS,0.0,UNIT,2020
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,BATIK,0.0,UNIT,2020
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,BORDIR,0.0,UNIT,2020
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,CRAFT,37.0,UNIT,2020
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,DEKORASI,,UNIT,2020
7,32,JAWA BARAT,3201,KABUPATEN BOGOR,MEBEL,,UNIT,2020
8,32,JAWA BARAT,3201,KABUPATEN BOGOR,FASHION,35.0,UNIT,2020
9,32,JAWA BARAT,3201,KABUPATEN BOGOR,INDUSTRI,16.0,UNIT,2020
10,32,JAWA BARAT,3201,KABUPATEN BOGOR,JASA,14.0,UNIT,2020
11,32,JAWA BARAT,3201,KABUPATEN BOGOR,KONVEKSI,1.0,UNIT,2020
12,32,JAWA BARAT,3201,KABUPATEN BOGOR,KULINER,52.0,UNIT,2020
13,32,JAWA BARAT,3201,KABUPATEN BOGOR,MAKANAN,104.0,UNIT,2020
14,32,JAWA BARAT,3201,KABUPATEN BOGOR,MINUMAN,14.0,UNIT,2020
15,32,JAWA BARAT,3201,KABUPATEN BOGOR,OBAT-OBATAN,0.0,UNIT,2020
16,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,AGRIBISNIS,11.0,UNIT,2020
17,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,AKSESORIS,4.0,UNIT,2020
18,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BATIK,0.0,UNIT,2020
19,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BORDIR,1.0,UNIT,2020
20,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,CRAFT,29.0,UNIT,2020
21,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,DEKORASI,,UNIT,2020
22,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MEBEL,,UNIT,2020
23,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,FASHION,19.0,UNIT,2020
24,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,INDUSTRI,15.0,UNIT,2020
25,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,JASA,3.0,UNIT,2020
26,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KONVEKSI,10.0,UNIT,2020
27,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KULINER,42.0,UNIT,2020
28,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MAKANAN,77.0,UNIT,2020
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MINUMAN,9.0,UNIT,2020
30,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,OBAT-OBATAN,0.0,UNIT,2020
31,32,JAWA BARAT,3203,KABUPATEN CIANJUR,AGRIBISNIS,16.0,UNIT,2020
32,32,JAWA BARAT,3203,KABUPATEN CIANJUR,AKSESORIS,0.0,UNIT,2020
33,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BATIK,1.0,UNIT,2020
34,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BORDIR,1.0,UNIT,2020
35,32,JAWA BARAT,3203,KABUPATEN CIANJUR,CRAFT,11.0,UNIT,2020
36,32,JAWA BARAT,3203,KABUPATEN CIANJUR,DEKORASI,1.0,UNIT,2020
37,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MEBEL,1.0,UNIT,2020
38,32,JAWA BARAT,3203,KABUPATEN CIANJUR,FASHION,18.0,UNIT,2020
39,32,JAWA BARAT,3203,KABUPATEN CIANJUR,INDUSTRI,2.0,UNIT,2020
40,32,JAWA BARAT,3203,KABUPATEN CIANJUR,JASA,10.0,UNIT,2020
41,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KONVEKSI,11.0,UNIT,2020
42,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KULINER,20.0,UNIT,2020
43,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MAKANAN,94.0,UNIT,2020
44,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MINUMAN,21.0,UNIT,2020
45,32,JAWA BARAT,3203,KABUPATEN CIANJUR,OBAT-OBATAN,4.0,UNIT,2020
46,32,JAWA BARAT,3204,KABUPATEN BANDUNG,AGRIBISNIS,0.0,UNIT,2020
47,32,JAWA BARAT,3204,KABUPATEN BANDUNG,AKSESORIS,2.0,UNIT,2020
48,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BATIK,0.0,UNIT,2020
49,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BORDIR,1.0,UNIT,2020
50,32,JAWA BARAT,3204,KABUPATEN BANDUNG,CRAFT,22.0,UNIT,2020
51,32,JAWA BARAT,3204,KABUPATEN BANDUNG,DEKORASI,1.0,UNIT,2020
52,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MEBEL,,UNIT,2020
