kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_usaha,jumlah_umkm,satuan,tahun
32,JAWA BARAT,3201,KABUPATEN BOGOR,AGRIBISNIS,11.0,UNIT,2020
32,JAWA BARAT,3201,KABUPATEN BOGOR,AKSESORIS,0.0,UNIT,2020
32,JAWA BARAT,3201,KABUPATEN BOGOR,BATIK,0.0,UNIT,2020
32,JAWA BARAT,3201,KABUPATEN BOGOR,BORDIR,0.0,UNIT,2020
32,JAWA BARAT,3201,KABUPATEN BOGOR,CRAFT,37.0,UNIT,2020
32,JAWA BARAT,3201,KABUPATEN BOGOR,DEKORASI,,UNIT,2020
32,JAWA BARAT,3201,KABUPATEN BOGOR,MEBEL,,UNIT,2020
32,JAWA BARAT,3201,KABUPATEN BOGOR,FASHION,35.0,UNIT,2020
32,JAWA BARAT,3201,KABUPATEN BOGOR,INDUSTRI,16.0,UNIT,2020
32,JAWA BARAT,3201,KABUPATEN BOGOR,JASA,14.0,UNIT,2020
32,JAWA BARAT,3201,KABUPATEN BOGOR,KONVEKSI,1.0,UNIT,2020
32,JAWA BARAT,3201,KABUPATEN BOGOR,KULINER,52.0,UNIT,2020
32,JAWA BARAT,3201,KABUPATEN BOGOR,MAKANAN,104.0,UNIT,2020
32,JAWA BARAT,3201,KABUPATEN BOGOR,MINUMAN,14.0,UNIT,2020
32,JAWA BARAT,3201,KABUPATEN BOGOR,OBAT-OBATAN,0.0,UNIT,2020
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,AGRIBISNIS,11.0,UNIT,2020
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,AKSESORIS,4.0,UNIT,2020
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BATIK,0.0,UNIT,2020
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BORDIR,1.0,UNIT,2020
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,CRAFT,29.0,UNIT,2020
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,DEKORASI,,UNIT,2020
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MEBEL,,UNIT,2020
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,FASHION,19.0,UNIT,2020
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,INDUSTRI,15.0,UNIT,2020
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,JASA,3.0,UNIT,2020
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KONVEKSI,10.0,UNIT,2020
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KULINER,42.0,UNIT,2020
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MAKANAN,77.0,UNIT,2020
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MINUMAN,9.0,UNIT,2020
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,OBAT-OBATAN,0.0,UNIT,2020
32,JAWA BARAT,3203,KABUPATEN CIANJUR,AGRIBISNIS,16.0,UNIT,2020
32,JAWA BARAT,3203,KABUPATEN CIANJUR,AKSESORIS,0.0,UNIT,2020
