kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_umkm,satuan,tahun
32,JAWA BARAT,3201,KABUPATEN BOGOR,375048.0,UNIT,2016
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,269002.0,UNIT,2016
32,JAWA BARAT,3203,KABUPATEN CIANJUR,250808.0,UNIT,2016
32,JAWA BARAT,3204,KABUPATEN BANDUNG,353277.0,UNIT,2016
32,JAWA BARAT,3205,KABUPATEN GARUT,259141.0,UNIT,2016
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,188068.0,UNIT,2016
32,JAWA BARAT,3207,KABUPATEN CIAMIS,139719.0,UNIT,2016
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,94885.0,UNIT,2016
32,JAWA BARAT,3209,KABUPATEN CIREBON,252604.0,UNIT,2016
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,156841.0,UNIT,2016
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,116203.0,UNIT,2016
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,191046.0,UNIT,2016
32,JAWA BARAT,3213,KABUPATEN SUBANG,169778.0,UNIT,2016
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,87246.0,UNIT,2016
32,JAWA BARAT,3215,KABUPATEN KARAWANG,233606.0,UNIT,2016
32,JAWA BARAT,3216,KABUPATEN BEKASI,231042.0,UNIT,2016
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,156287.0,UNIT,2016
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,60293.0,UNIT,2016
32,JAWA BARAT,3271,KOTA BOGOR,86406.0,UNIT,2016
32,JAWA BARAT,3272,KOTA SUKABUMI,39982.0,UNIT,2016
32,JAWA BARAT,3273,KOTA BANDUNG,343938.0,UNIT,2016
32,JAWA BARAT,3274,KOTA CIREBON,40224.0,UNIT,2016
32,JAWA BARAT,3275,KOTA BEKASI,203056.0,UNIT,2016
32,JAWA BARAT,3276,KOTA DEPOK,162388.0,UNIT,2016
32,JAWA BARAT,3277,KOTA CIMAHI,56910.0,UNIT,2016
32,JAWA BARAT,3278,KOTA TASIKMALAYA,91113.0,UNIT,2016
32,JAWA BARAT,3279,KOTA BANJAR,25896.0,UNIT,2016
32,JAWA BARAT,3201,KABUPATEN BOGOR,398253.0,UNIT,2017
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,285646.0,UNIT,2017
32,JAWA BARAT,3203,KABUPATEN CIANJUR,266326.0,UNIT,2017
32,JAWA BARAT,3204,KABUPATEN BANDUNG,375135.0,UNIT,2017
32,JAWA BARAT,3205,KABUPATEN GARUT,275175.0,UNIT,2017
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,199704.0,UNIT,2017
32,JAWA BARAT,3207,KABUPATEN CIAMIS,148364.0,UNIT,2017
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,100756.0,UNIT,2017
32,JAWA BARAT,3209,KABUPATEN CIREBON,268233.0,UNIT,2017
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,166545.0,UNIT,2017
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,123393.0,UNIT,2017
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,202866.0,UNIT,2017
32,JAWA BARAT,3213,KABUPATEN SUBANG,180283.0,UNIT,2017
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,92644.0,UNIT,2017
32,JAWA BARAT,3215,KABUPATEN KARAWANG,248060.0,UNIT,2017
32,JAWA BARAT,3216,KABUPATEN BEKASI,245337.0,UNIT,2017
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,165957.0,UNIT,2017
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,64023.0,UNIT,2017
32,JAWA BARAT,3271,KOTA BOGOR,91752.0,UNIT,2017
32,JAWA BARAT,3272,KOTA SUKABUMI,42456.0,UNIT,2017
32,JAWA BARAT,3273,KOTA BANDUNG,365218.0,UNIT,2017
32,JAWA BARAT,3274,KOTA CIREBON,42713.0,UNIT,2017
32,JAWA BARAT,3275,KOTA BEKASI,215620.0,UNIT,2017
32,JAWA BARAT,3276,KOTA DEPOK,172435.0,UNIT,2017
32,JAWA BARAT,3277,KOTA CIMAHI,60431.0,UNIT,2017
32,JAWA BARAT,3278,KOTA TASIKMALAYA,96750.0,UNIT,2017
32,JAWA BARAT,3279,KOTA BANJAR,27498.0,UNIT,2017
32,JAWA BARAT,3201,KABUPATEN BOGOR,422894.0,UNIT,2018
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,303319.0,UNIT,2018
32,JAWA BARAT,3203,KABUPATEN CIANJUR,282804.0,UNIT,2018
32,JAWA BARAT,3204,KABUPATEN BANDUNG,398346.0,UNIT,2018
32,JAWA BARAT,3205,KABUPATEN GARUT,292200.0,UNIT,2018
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,212060.0,UNIT,2018
32,JAWA BARAT,3207,KABUPATEN CIAMIS,157543.0,UNIT,2018
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,106990.0,UNIT,2018
32,JAWA BARAT,3209,KABUPATEN CIREBON,284829.0,UNIT,2018
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,176850.0,UNIT,2018
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,131027.0,UNIT,2018
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,215418.0,UNIT,2018
32,JAWA BARAT,3213,KABUPATEN SUBANG,191437.0,UNIT,2018
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,98376.0,UNIT,2018
32,JAWA BARAT,3215,KABUPATEN KARAWANG,263408.0,UNIT,2018
32,JAWA BARAT,3216,KABUPATEN BEKASI,260517.0,UNIT,2018
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,176225.0,UNIT,2018
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,67985.0,UNIT,2018
32,JAWA BARAT,3271,KOTA BOGOR,97429.0,UNIT,2018
32,JAWA BARAT,3272,KOTA SUKABUMI,45083.0,UNIT,2018
32,JAWA BARAT,3273,KOTA BANDUNG,387815.0,UNIT,2018
32,JAWA BARAT,3274,KOTA CIREBON,45355.0,UNIT,2018
32,JAWA BARAT,3275,KOTA BEKASI,228960.0,UNIT,2018
32,JAWA BARAT,3276,KOTA DEPOK,183104.0,UNIT,2018
32,JAWA BARAT,3277,KOTA CIMAHI,64170.0,UNIT,2018
32,JAWA BARAT,3278,KOTA TASIKMALAYA,102737.0,UNIT,2018
32,JAWA BARAT,3279,KOTA BANJAR,29200.0,UNIT,2018
32,JAWA BARAT,3201,KABUPATEN BOGOR,449059.0,UNIT,2019
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,322086.0,UNIT,2019
32,JAWA BARAT,3203,KABUPATEN CIANJUR,300302.0,UNIT,2019
32,JAWA BARAT,3204,KABUPATEN BANDUNG,422992.0,UNIT,2019
32,JAWA BARAT,3205,KABUPATEN GARUT,310279.0,UNIT,2019
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,225181.0,UNIT,2019
32,JAWA BARAT,3207,KABUPATEN CIAMIS,167291.0,UNIT,2019
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,113609.0,UNIT,2019
32,JAWA BARAT,3209,KABUPATEN CIREBON,302452.0,UNIT,2019
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,187792.0,UNIT,2019
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,139134.0,UNIT,2019
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,228747.0,UNIT,2019
32,JAWA BARAT,3213,KABUPATEN SUBANG,203282.0,UNIT,2019
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,104463.0,UNIT,2019
32,JAWA BARAT,3215,KABUPATEN KARAWANG,279705.0,UNIT,2019
32,JAWA BARAT,3216,KABUPATEN BEKASI,276635.0,UNIT,2019
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,187128.0,UNIT,2019
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,72191.0,UNIT,2019
32,JAWA BARAT,3271,KOTA BOGOR,103457.0,UNIT,2019
32,JAWA BARAT,3272,KOTA SUKABUMI,47872.0,UNIT,2019
32,JAWA BARAT,3273,KOTA BANDUNG,411810.0,UNIT,2019
32,JAWA BARAT,3274,KOTA CIREBON,48162.0,UNIT,2019
32,JAWA BARAT,3275,KOTA BEKASI,243127.0,UNIT,2019
32,JAWA BARAT,3276,KOTA DEPOK,194433.0,UNIT,2019
32,JAWA BARAT,3277,KOTA CIMAHI,68141.0,UNIT,2019
32,JAWA BARAT,3278,KOTA TASIKMALAYA,109093.0,UNIT,2019
32,JAWA BARAT,3279,KOTA BANJAR,31006.0,UNIT,2019
32,JAWA BARAT,3201,KABUPATEN BOGOR,476844.0,UNIT,2020
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,342015.0,UNIT,2020
32,JAWA BARAT,3203,KABUPATEN CIANJUR,318882.0,UNIT,2020
32,JAWA BARAT,3204,KABUPATEN BANDUNG,449164.0,UNIT,2020
32,JAWA BARAT,3205,KABUPATEN GARUT,329477.0,UNIT,2020
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,239114.0,UNIT,2020
32,JAWA BARAT,3207,KABUPATEN CIAMIS,177642.0,UNIT,2020
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,120639.0,UNIT,2020
32,JAWA BARAT,3209,KABUPATEN CIREBON,321166.0,UNIT,2020
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,199411.0,UNIT,2020
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,147743.0,UNIT,2020
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,242900.0,UNIT,2020
32,JAWA BARAT,3213,KABUPATEN SUBANG,215859.0,UNIT,2020
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,110926.0,UNIT,2020
32,JAWA BARAT,3215,KABUPATEN KARAWANG,297011.0,UNIT,2020
32,JAWA BARAT,3216,KABUPATEN BEKASI,293752.0,UNIT,2020
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,198707.0,UNIT,2020
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,76658.0,UNIT,2020
32,JAWA BARAT,3271,KOTA BOGOR,109858.0,UNIT,2020
32,JAWA BARAT,3272,KOTA SUKABUMI,50834.0,UNIT,2020
32,JAWA BARAT,3273,KOTA BANDUNG,437290.0,UNIT,2020
32,JAWA BARAT,3274,KOTA CIREBON,51142.0,UNIT,2020
32,JAWA BARAT,3275,KOTA BEKASI,258170.0,UNIT,2020
32,JAWA BARAT,3276,KOTA DEPOK,206463.0,UNIT,2020
32,JAWA BARAT,3277,KOTA CIMAHI,72357.0,UNIT,2020
32,JAWA BARAT,3278,KOTA TASIKMALAYA,115843.0,UNIT,2020
32,JAWA BARAT,3279,KOTA BANJAR,32925.0,UNIT,2020
32,JAWA BARAT,3201,KABUPATEN BOGOR,506347.0,UNIT,2021
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,363176.0,UNIT,2021
