kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_usaha,jumlah_umkm,satuan,tahun
32,JAWA BARAT,3201,KABUPATEN BOGOR,AKSESORIS,927.0,UNIT,2017
32,JAWA BARAT,3201,KABUPATEN BOGOR,BATIK,927.0,UNIT,2017
32,JAWA BARAT,3201,KABUPATEN BOGOR,BORDIR,132.0,UNIT,2017
32,JAWA BARAT,3201,KABUPATEN BOGOR,CRAFT,33111.0,UNIT,2017
32,JAWA BARAT,3201,KABUPATEN BOGOR,FASHION,32316.0,UNIT,2017
32,JAWA BARAT,3201,KABUPATEN BOGOR,KONVEKSI,19734.0,UNIT,2017
32,JAWA BARAT,3201,KABUPATEN BOGOR,KULINER,142508.0,UNIT,2017
32,JAWA BARAT,3201,KABUPATEN BOGOR,MAKANAN,104232.0,UNIT,2017
32,JAWA BARAT,3201,KABUPATEN BOGOR,MINUMAN,19337.0,UNIT,2017
32,JAWA BARAT,3201,KABUPATEN BOGOR,JASA/LAINNYA,45030.0,UNIT,2017
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,AKSESORIS,665.0,UNIT,2017
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BATIK,665.0,UNIT,2017
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BORDIR,95.0,UNIT,2017
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,CRAFT,23748.0,UNIT,2017
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,FASHION,23178.0,UNIT,2017
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KONVEKSI,14154.0,UNIT,2017
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KULINER,102213.0,UNIT,2017
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MAKANAN,74760.0,UNIT,2017
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MINUMAN,13869.0,UNIT,2017
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,JASA/LAINNYA,32298.0,UNIT,2017
32,JAWA BARAT,3203,KABUPATEN CIANJUR,AKSESORIS,620.0,UNIT,2017
32,JAWA BARAT,3203,KABUPATEN CIANJUR,BATIK,620.0,UNIT,2017
32,JAWA BARAT,3203,KABUPATEN CIANJUR,BORDIR,89.0,UNIT,2017
32,JAWA BARAT,3203,KABUPATEN CIANJUR,CRAFT,22142.0,UNIT,2017
32,JAWA BARAT,3203,KABUPATEN CIANJUR,FASHION,21611.0,UNIT,2017
32,JAWA BARAT,3203,KABUPATEN CIANJUR,KONVEKSI,13197.0,UNIT,2017
32,JAWA BARAT,3203,KABUPATEN CIANJUR,KULINER,95300.0,UNIT,2017
32,JAWA BARAT,3203,KABUPATEN CIANJUR,MAKANAN,69704.0,UNIT,2017
32,JAWA BARAT,3203,KABUPATEN CIANJUR,MINUMAN,12931.0,UNIT,2017
32,JAWA BARAT,3203,KABUPATEN CIANJUR,JASA/LAINNYA,30113.0,UNIT,2017
32,JAWA BARAT,3204,KABUPATEN BANDUNG,AKSESORIS,873.0,UNIT,2017
32,JAWA BARAT,3204,KABUPATEN BANDUNG,BATIK,873.0,UNIT,2017
32,JAWA BARAT,3204,KABUPATEN BANDUNG,BORDIR,125.0,UNIT,2017
32,JAWA BARAT,3204,KABUPATEN BANDUNG,CRAFT,31188.0,UNIT,2017
32,JAWA BARAT,3204,KABUPATEN BANDUNG,FASHION,30440.0,UNIT,2017
32,JAWA BARAT,3204,KABUPATEN BANDUNG,KONVEKSI,18588.0,UNIT,2017
32,JAWA BARAT,3204,KABUPATEN BANDUNG,KULINER,134235.0,UNIT,2017
32,JAWA BARAT,3204,KABUPATEN BANDUNG,MAKANAN,98181.0,UNIT,2017
32,JAWA BARAT,3204,KABUPATEN BANDUNG,MINUMAN,18214.0,UNIT,2017
32,JAWA BARAT,3204,KABUPATEN BANDUNG,JASA/LAINNYA,42416.0,UNIT,2017
32,JAWA BARAT,3205,KABUPATEN GARUT,AKSESORIS,641.0,UNIT,2017
32,JAWA BARAT,3205,KABUPATEN GARUT,BATIK,641.0,UNIT,2017
32,JAWA BARAT,3205,KABUPATEN GARUT,BORDIR,92.0,UNIT,2017
32,JAWA BARAT,3205,KABUPATEN GARUT,CRAFT,22878.0,UNIT,2017
32,JAWA BARAT,3205,KABUPATEN GARUT,FASHION,22329.0,UNIT,2017
32,JAWA BARAT,3205,KABUPATEN GARUT,KONVEKSI,13635.0,UNIT,2017
32,JAWA BARAT,3205,KABUPATEN GARUT,KULINER,98466.0,UNIT,2017
32,JAWA BARAT,3205,KABUPATEN GARUT,MAKANAN,72019.0,UNIT,2017
32,JAWA BARAT,3205,KABUPATEN GARUT,MINUMAN,13361.0,UNIT,2017
32,JAWA BARAT,3205,KABUPATEN GARUT,JASA/LAINNYA,31114.0,UNIT,2017
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,AKSESORIS,465.0,UNIT,2017
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BATIK,465.0,UNIT,2017
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BORDIR,66.0,UNIT,2017
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,CRAFT,16603.0,UNIT,2017
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,FASHION,16205.0,UNIT,2017
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KONVEKSI,9896.0,UNIT,2017
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KULINER,71461.0,UNIT,2017
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MAKANAN,52267.0,UNIT,2017
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MINUMAN,9696.0,UNIT,2017
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,JASA/LAINNYA,22580.0,UNIT,2017
32,JAWA BARAT,3207,KABUPATEN CIAMIS,AKSESORIS,345.0,UNIT,2017
32,JAWA BARAT,3207,KABUPATEN CIAMIS,BATIK,345.0,UNIT,2017
32,JAWA BARAT,3207,KABUPATEN CIAMIS,BORDIR,49.0,UNIT,2017
32,JAWA BARAT,3207,KABUPATEN CIAMIS,CRAFT,12335.0,UNIT,2017
32,JAWA BARAT,3207,KABUPATEN CIAMIS,FASHION,12039.0,UNIT,2017
32,JAWA BARAT,3207,KABUPATEN CIAMIS,KONVEKSI,7352.0,UNIT,2017
32,JAWA BARAT,3207,KABUPATEN CIAMIS,KULINER,53089.0,UNIT,2017
32,JAWA BARAT,3207,KABUPATEN CIAMIS,MAKANAN,38830.0,UNIT,2017
32,JAWA BARAT,3207,KABUPATEN CIAMIS,MINUMAN,7204.0,UNIT,2017
32,JAWA BARAT,3207,KABUPATEN CIAMIS,JASA/LAINNYA,16775.0,UNIT,2017
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,AKSESORIS,235.0,UNIT,2017
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BATIK,235.0,UNIT,2017
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BORDIR,34.0,UNIT,2017
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,CRAFT,8377.0,UNIT,2017
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,FASHION,8176.0,UNIT,2017
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KONVEKSI,4993.0,UNIT,2017
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KULINER,36054.0,UNIT,2017
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MAKANAN,26370.0,UNIT,2017
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MINUMAN,4892.0,UNIT,2017
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,JASA/LAINNYA,11392.0,UNIT,2017
32,JAWA BARAT,3209,KABUPATEN CIREBON,AKSESORIS,624.0,UNIT,2017
32,JAWA BARAT,3209,KABUPATEN CIREBON,BATIK,624.0,UNIT,2017
32,JAWA BARAT,3209,KABUPATEN CIREBON,BORDIR,89.0,UNIT,2017
32,JAWA BARAT,3209,KABUPATEN CIREBON,CRAFT,22301.0,UNIT,2017
32,JAWA BARAT,3209,KABUPATEN CIREBON,FASHION,21766.0,UNIT,2017
32,JAWA BARAT,3209,KABUPATEN CIREBON,KONVEKSI,13291.0,UNIT,2017
32,JAWA BARAT,3209,KABUPATEN CIREBON,KULINER,95982.0,UNIT,2017
32,JAWA BARAT,3209,KABUPATEN CIREBON,MAKANAN,70203.0,UNIT,2017
32,JAWA BARAT,3209,KABUPATEN CIREBON,MINUMAN,13024.0,UNIT,2017
32,JAWA BARAT,3209,KABUPATEN CIREBON,JASA/LAINNYA,30329.0,UNIT,2017
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,AKSESORIS,388.0,UNIT,2017
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BATIK,388.0,UNIT,2017
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BORDIR,55.0,UNIT,2017
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,CRAFT,13846.0,UNIT,2017
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,FASHION,13514.0,UNIT,2017
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KONVEKSI,8252.0,UNIT,2017
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KULINER,59595.0,UNIT,2017
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MAKANAN,43589.0,UNIT,2017
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MINUMAN,8086.0,UNIT,2017
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,JASA/LAINNYA,18831.0,UNIT,2017
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,AKSESORIS,287.0,UNIT,2017
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BATIK,287.0,UNIT,2017
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BORDIR,41.0,UNIT,2017
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,CRAFT,10259.0,UNIT,2017
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,FASHION,10013.0,UNIT,2017
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KONVEKSI,6114.0,UNIT,2017
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KULINER,44154.0,UNIT,2017
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MAKANAN,32295.0,UNIT,2017
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MINUMAN,5991.0,UNIT,2017
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,JASA/LAINNYA,13952.0,UNIT,2017
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,AKSESORIS,472.0,UNIT,2017
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BATIK,472.0,UNIT,2017
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BORDIR,67.0,UNIT,2017
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,CRAFT,16866.0,UNIT,2017
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,FASHION,16461.0,UNIT,2017
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KONVEKSI,10052.0,UNIT,2017
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KULINER,72592.0,UNIT,2017
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MAKANAN,53095.0,UNIT,2017
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MINUMAN,9850.0,UNIT,2017
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,JASA/LAINNYA,22938.0,UNIT,2017
32,JAWA BARAT,3213,KABUPATEN SUBANG,AKSESORIS,420.0,UNIT,2017
