id,kode_provinsi,nama_provinsi,kategori_usaha,jumlah_umkm,satuan,tahun
1,32,JAWA BARAT,AKSESORIS,10789,UNIT,2016
2,32,JAWA BARAT,BATIK,10789,UNIT,2016
3,32,JAWA BARAT,BORDIR,1541,UNIT,2016
4,32,JAWA BARAT,CRAFT,385335,UNIT,2016
5,32,JAWA BARAT,FASHION,376087,UNIT,2016
6,32,JAWA BARAT,KONVEKSI,229660,UNIT,2016
7,32,JAWA BARAT,KULINER,1658481,UNIT,2016
8,32,JAWA BARAT,MAKANAN,1213034,UNIT,2016
9,32,JAWA BARAT,MINUMAN,225036,UNIT,2016
10,32,JAWA BARAT,JASA/LAINNYA,524055,UNIT,2016
11,32,JAWA BARAT,AKSESORIS,11457,UNIT,2017
12,32,JAWA BARAT,BATIK,11457,UNIT,2017
13,32,JAWA BARAT,BORDIR,1637,UNIT,2017
14,32,JAWA BARAT,CRAFT,409176,UNIT,2017
15,32,JAWA BARAT,FASHION,399356,UNIT,2017
16,32,JAWA BARAT,KONVEKSI,243869,UNIT,2017
17,32,JAWA BARAT,KULINER,1761095,UNIT,2017
18,32,JAWA BARAT,MAKANAN,1288087,UNIT,2017
19,32,JAWA BARAT,MINUMAN,238959,UNIT,2017
20,32,JAWA BARAT,JASA/LAINNYA,556480,UNIT,2017
21,32,JAWA BARAT,AKSESORIS,12166,UNIT,2018
22,32,JAWA BARAT,BATIK,12166,UNIT,2018
23,32,JAWA BARAT,BORDIR,1738,UNIT,2018
24,32,JAWA BARAT,CRAFT,434493,UNIT,2018
25,32,JAWA BARAT,FASHION,424065,UNIT,2018
26,32,JAWA BARAT,KONVEKSI,258958,UNIT,2018
27,32,JAWA BARAT,KULINER,1870058,UNIT,2018
28,32,JAWA BARAT,MAKANAN,1367784,UNIT,2018
29,32,JAWA BARAT,MINUMAN,253744,UNIT,2018
30,32,JAWA BARAT,JASA/LAINNYA,590911,UNIT,2018
31,32,JAWA BARAT,AKSESORIS,12919,UNIT,2019
32,32,JAWA BARAT,BATIK,12919,UNIT,2019
33,32,JAWA BARAT,BORDIR,1846,UNIT,2019
34,32,JAWA BARAT,CRAFT,461376,UNIT,2019
35,32,JAWA BARAT,FASHION,450303,UNIT,2019
36,32,JAWA BARAT,KONVEKSI,274980,UNIT,2019
37,32,JAWA BARAT,KULINER,1985763,UNIT,2019
38,32,JAWA BARAT,MAKANAN,1452412,UNIT,2019
39,32,JAWA BARAT,MINUMAN,269444,UNIT,2019
40,32,JAWA BARAT,JASA/LAINNYA,627472,UNIT,2019
41,32,JAWA BARAT,AKSESORIS,13718,UNIT,2020
42,32,JAWA BARAT,BATIK,13718,UNIT,2020
43,32,JAWA BARAT,BORDIR,1960,UNIT,2020
44,32,JAWA BARAT,CRAFT,489923,UNIT,2020
45,32,JAWA BARAT,FASHION,478164,UNIT,2020
46,32,JAWA BARAT,KONVEKSI,291994,UNIT,2020
47,32,JAWA BARAT,KULINER,2108627,UNIT,2020
48,32,JAWA BARAT,MAKANAN,1542276,UNIT,2020
49,32,JAWA BARAT,MINUMAN,286115,UNIT,2020
50,32,JAWA BARAT,JASA/LAINNYA,666295,UNIT,2020
51,32,JAWA BARAT,AKSESORIS,14567,UNIT,2021
52,32,JAWA BARAT,BATIK,14567,UNIT,2021
53,32,JAWA BARAT,BORDIR,2081,UNIT,2021
54,32,JAWA BARAT,CRAFT,520235,UNIT,2021
55,32,JAWA BARAT,FASHION,507750,UNIT,2021
56,32,JAWA BARAT,KONVEKSI,310060,UNIT,2021
57,32,JAWA BARAT,KULINER,2239092,UNIT,2021
58,32,JAWA BARAT,MAKANAN,1637701,UNIT,2021
59,32,JAWA BARAT,MINUMAN,303817,UNIT,2021
60,32,JAWA BARAT,JASA/LAINNYA,707520,UNIT,2021
