id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bentuk_usaha,jumlah_umkm,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,PERORANGAN,78,UNIT,2020
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,CV,173,UNIT,2020
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,PT,33,UNIT,2020
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,KOPERASI,0,UNIT,2020
5,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PERORANGAN,49,UNIT,2020
6,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,CV,151,UNIT,2020
7,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PT,20,UNIT,2020
8,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KOPERASI,0,UNIT,2020
9,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PERORANGAN,20,UNIT,2020
10,32,JAWA BARAT,3203,KABUPATEN CIANJUR,CV,159,UNIT,2020
11,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PT,31,UNIT,2020
12,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KOPERASI,1,UNIT,2020
13,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PERORANGAN,17,UNIT,2020
14,32,JAWA BARAT,3204,KABUPATEN BANDUNG,CV,163,UNIT,2020
15,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PT,120,UNIT,2020
16,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KOPERASI,0,UNIT,2020
17,32,JAWA BARAT,3205,KABUPATEN GARUT,PERORANGAN,22,UNIT,2020
18,32,JAWA BARAT,3205,KABUPATEN GARUT,CV,204,UNIT,2020
19,32,JAWA BARAT,3205,KABUPATEN GARUT,PT,24,UNIT,2020
20,32,JAWA BARAT,3205,KABUPATEN GARUT,KOPERASI,0,UNIT,2020
21,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PERORANGAN,26,UNIT,2020
22,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,CV,164,UNIT,2020
23,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PT,26,UNIT,2020
24,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KOPERASI,0,UNIT,2020
25,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PERORANGAN,34,UNIT,2020
26,32,JAWA BARAT,3207,KABUPATEN CIAMIS,CV,157,UNIT,2020
27,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PT,4,UNIT,2020
28,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KOPERASI,0,UNIT,2020
29,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PERORANGAN,33,UNIT,2020
30,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,CV,126,UNIT,2020
31,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PT,9,UNIT,2020
32,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KOPERASI,0,UNIT,2020
33,32,JAWA BARAT,3209,KABUPATEN CIREBON,PERORANGAN,45,UNIT,2020
34,32,JAWA BARAT,3209,KABUPATEN CIREBON,CV,182,UNIT,2020
35,32,JAWA BARAT,3209,KABUPATEN CIREBON,PT,29,UNIT,2020
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,KOPERASI,0,UNIT,2020
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PERORANGAN,83,UNIT,2020
38,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,CV,165,UNIT,2020
39,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PT,5,UNIT,2020
40,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KOPERASI,0,UNIT,2020
41,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PERORANGAN,13,UNIT,2020
42,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,CV,191,UNIT,2020
43,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PT,13,UNIT,2020
44,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KOPERASI,0,UNIT,2020
45,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PERORANGAN,24,UNIT,2020
