kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bentuk_usaha,jumlah_umkm,satuan,tahun
32,JAWA BARAT,3201,KABUPATEN BOGOR,PERORANGAN,78.0,UNIT,2020
32,JAWA BARAT,3201,KABUPATEN BOGOR,CV,173.0,UNIT,2020
32,JAWA BARAT,3201,KABUPATEN BOGOR,PT,33.0,UNIT,2020
32,JAWA BARAT,3201,KABUPATEN BOGOR,KOPERASI,0.0,UNIT,2020
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PERORANGAN,49.0,UNIT,2020
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,CV,151.0,UNIT,2020
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PT,20.0,UNIT,2020
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KOPERASI,0.0,UNIT,2020
32,JAWA BARAT,3203,KABUPATEN CIANJUR,PERORANGAN,20.0,UNIT,2020
32,JAWA BARAT,3203,KABUPATEN CIANJUR,CV,159.0,UNIT,2020
32,JAWA BARAT,3203,KABUPATEN CIANJUR,PT,31.0,UNIT,2020
32,JAWA BARAT,3203,KABUPATEN CIANJUR,KOPERASI,1.0,UNIT,2020
32,JAWA BARAT,3204,KABUPATEN BANDUNG,PERORANGAN,17.0,UNIT,2020
32,JAWA BARAT,3204,KABUPATEN BANDUNG,CV,163.0,UNIT,2020
32,JAWA BARAT,3204,KABUPATEN BANDUNG,PT,120.0,UNIT,2020
32,JAWA BARAT,3204,KABUPATEN BANDUNG,KOPERASI,0.0,UNIT,2020
32,JAWA BARAT,3205,KABUPATEN GARUT,PERORANGAN,22.0,UNIT,2020
32,JAWA BARAT,3205,KABUPATEN GARUT,CV,204.0,UNIT,2020
32,JAWA BARAT,3205,KABUPATEN GARUT,PT,24.0,UNIT,2020
32,JAWA BARAT,3205,KABUPATEN GARUT,KOPERASI,0.0,UNIT,2020
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PERORANGAN,26.0,UNIT,2020
